Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AutoTP2R1	Peptides AutoTP2R2	Peptides AutoTP2R3	Peptides HeteTP4R1	Peptides HeteTP4R2	Peptides HeteTP4R3	Peptides MixoTP4R1	Peptides MixoTP4R2	Peptides MixoTP4R3	Razor + unique peptides AutoTP2R1	Razor + unique peptides AutoTP2R2	Razor + unique peptides AutoTP2R3	Razor + unique peptides HeteTP4R1	Razor + unique peptides HeteTP4R2	Razor + unique peptides HeteTP4R3	Razor + unique peptides MixoTP4R1	Razor + unique peptides MixoTP4R2	Razor + unique peptides MixoTP4R3	Unique peptides AutoTP2R1	Unique peptides AutoTP2R2	Unique peptides AutoTP2R3	Unique peptides HeteTP4R1	Unique peptides HeteTP4R2	Unique peptides HeteTP4R3	Unique peptides MixoTP4R1	Unique peptides MixoTP4R2	Unique peptides MixoTP4R3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type AutoTP2R1	Identification type AutoTP2R2	Identification type AutoTP2R3	Identification type HeteTP4R1	Identification type HeteTP4R2	Identification type HeteTP4R3	Identification type MixoTP4R1	Identification type MixoTP4R2	Identification type MixoTP4R3	Sequence coverage AutoTP2R1 [%]	Sequence coverage AutoTP2R2 [%]	Sequence coverage AutoTP2R3 [%]	Sequence coverage HeteTP4R1 [%]	Sequence coverage HeteTP4R2 [%]	Sequence coverage HeteTP4R3 [%]	Sequence coverage MixoTP4R1 [%]	Sequence coverage MixoTP4R2 [%]	Sequence coverage MixoTP4R3 [%]	Intensity	Intensity AutoTP2R1	Intensity AutoTP2R2	Intensity AutoTP2R3	Intensity HeteTP4R1	Intensity HeteTP4R2	Intensity HeteTP4R3	Intensity MixoTP4R1	Intensity MixoTP4R2	Intensity MixoTP4R3	LFQ intensity AutoTP2R1	LFQ intensity AutoTP2R2	LFQ intensity AutoTP2R3	LFQ intensity HeteTP4R1	LFQ intensity HeteTP4R2	LFQ intensity HeteTP4R3	LFQ intensity MixoTP4R1	LFQ intensity MixoTP4R2	LFQ intensity MixoTP4R3	MS/MS count AutoTP2R1	MS/MS count AutoTP2R2	MS/MS count AutoTP2R3	MS/MS count HeteTP4R1	MS/MS count HeteTP4R2	MS/MS count HeteTP4R3	MS/MS count MixoTP4R1	MS/MS count MixoTP4R2	MS/MS count MixoTP4R3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
g5095.t1	g5095.t1	3	3	3		1	3	3	3	2	0	3	3	3	3	3	3	2	2	0	3	3	3	3	3	3	2	2	0	3	3	3	3	3	3	2	13.6	13.6	13.6	33.101	294	294	1	28	0	31.84	By matching		By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	8.8	0	13.6	13.6	13.6	13.6	13.6	13.6	8.8	33477000	709590	0	1555800	3863000	6079100	7628200	5093400	5975500	2572200	1892400	0	4444700	5100500	0	3498400	3622300	2734600	3624600	0	0	1	2	0	0	1	2	0	6				418	221;1053;2076	True;True;True	230;1117;2216	1465;1466;1467;1468;1469;1470;7431;7432;7433;7434;7435;7436;7437;7438;7439;7440;7441;7442;7443;7444;14714;14715;14716;14717;14718;14719;14720;14721	564;565;566;2643;2644;5239;5240	564;2644;5239		
g5098.t1	g5098.t1	3	3	3		1	3	3	3	3	3	2	1	2	3	3	2	3	3	3	2	1	2	3	3	2	3	3	3	2	1	2	3	3	2	3	38.5	38.5	38.5	10.112	91	91	1	22	0	18.575	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	38.5	38.5	27.5	9.9	27.5	38.5	38.5	28.6	38.5	22599000	5318400	1459900	654420	373310	1680600	4403500	3727000	3503300	1478200	6142600	2464200	0	0	0	2067800	2104400	2511000	1881400	2	0	0	0	0	0	0	1	1	4				419	1139;2068;2502	True;True;True	1206;2208;2704	7999;8000;8001;8002;8003;8004;8005;8006;14674;14675;14676;14677;14678;14679;18042;18043;18044;18045;18046;18047;18048;18049	2843;2844;5228;5229;6382	2844;5229;6382		
g5105.t1	g5105.t1	3	3	3		1	3	3	3	2	3	2	2	1	3	3	2	2	2	3	2	2	1	3	3	2	2	2	3	2	2	1	3	3	2	2	25.2	25.2	25.2	25.131	238	238	1	26	0	28.272	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	12.2	25.2	12.2	21	8	25.2	25.2	21	12.2	17796000	1794100	3049100	1190100	1280200	560870	2859900	3335200	2667200	1059300	2097200	3581100	2635600	2743000	0	1507200	2281100	1466600	1617500	1	3	1	0	0	0	2	2	1	10				420	869;2925;3458	True;True;True	919;3150;3718;3719	6096;6097;6098;6099;6100;6101;20977;20978;20979;20980;20981;24869;24870;24871;24872;24873;24874;24875;24876;24877;24878;24879;24880;24881;24882;24883	2171;7444;7445;8878;8879;8880;8881;8882;8883;8884	2171;7444;8878	242	165
g5127.t1	g5127.t1	3	3	3		1	3	3	3	2	1	2	1	2	3	3	3	2	2	1	2	1	2	3	3	3	2	2	1	2	1	2	3	3	3	2	14.5	14.5	14.5	37.572	345	345	1	19	0	19.865	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	11.3	4.6	7.8	4.6	7.8	14.5	14.5	14.5	7.8	8052200	640450	571300	239970	175950	643290	1394800	1655300	1783900	947270	657500	0	0	0	664470	705190	1088600	0	0	1	1	0	0	1	1	1	0	0	5				421	504;2998;3415	True;True;True	532;3230;3671	3445;3446;3447;3448;3449;3450;3451;3452;3453;21549;21550;21551;21552;24554;24555;24556;24557;24558;24559	1236;1237;7652;8743;8744	1236;7652;8743	243	336
g513.t1	g513.t1	2	2	2		1	2	2	2	2	0	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	8	8	8	35.135	326	326	1	9	0	12.03	By MS/MS		By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	8	0	5.2	5.2	5.2	5.2	5.2	5.2	5.2	1978800	143210	0	70046	128930	457720	252470	389000	407640	129820	0	0	0	0	0	0	0	0	160060	2	0	0	0	0	0	1	0	0	3				422	95;2957	True;True	96;3182	612;613;614;615;616;617;618;619;21213	218;219;7530	219;7530		
g5143.t1	g5143.t1	6	6	6		1	6	6	6	5	5	4	5	6	4	6	5	5	5	5	4	5	6	4	6	5	5	5	5	4	5	6	4	6	5	5	21	21	21	32.785	310	310	1	45	0	51.095	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.7	18.7	15.2	18.7	21	13.5	21	17.1	17.1	22132000	1953900	1577000	813650	1211800	3370200	3435300	4551400	3896400	1322400	2227200	2618400	1190000	2401700	2441700	3045800	2586200	2045200	1908100	1	3	0	3	2	2	2	1	1	15				423	2058;2482;2820;2903;3193;3194	True;True;True;True;True;True	2198;2684;3041;3127;3437;3438	14609;14610;14611;14612;14613;14614;14615;14616;14617;17919;17920;17921;17922;17923;17924;17925;17926;20269;20270;20271;20272;20273;20274;20275;20276;20833;20834;20835;20836;20837;20838;22937;22938;22939;22940;22941;22942;22943;22944;22945;22946;22947;22948;22949;22950	5216;6342;6343;6344;7159;7160;7161;7162;7163;7164;7393;7394;7395;7396;8147;8148;8149;8150;8151	5216;6342;7160;7395;8147;8151		
g5156.t1	g5156.t1	2	2	2		1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	40.3	40.3	40.3	7.7329	72	72	1	18	0	13.591	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	40.3	40.3	40.3	40.3	40.3	40.3	40.3	40.3	40.3	4008300	520880	538790	238530	173360	485420	731990	418880	518340	382100	404500	1439900	433010	284830	352430	379020	271980	317810	376760	1	2	1	0	1	0	1	1	0	7				424	2516;3606	True;True	2720;3877	18183;18184;18185;18186;18187;18188;18189;18190;18191;25906;25907;25908;25909;25910;25911;25912;25913;25914	6416;9259;9260;9261;9262;9263;9264	6416;9262		
g5175.t1	g5175.t1	8	8	8		1	8	8	8	4	3	3	4	8	8	6	5	6	4	3	3	4	8	8	6	5	6	4	3	3	4	8	8	6	5	6	12.3	12.3	12.3	86.294	807	807	1	47	0	60.911	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	5.2	4.8	3.2	7.3	12.3	12.3	8.9	7.4	8.1	51111000	1372000	483570	870070	3236700	13147000	18896000	3778000	7672300	1655400	1167400	1980200	3281200	3229000	10683000	10603000	1815700	5620900	1609200	0	0	0	1	4	4	0	3	0	12				425	299;526;548;1403;2042;3143;3249;3282	True;True;True;True;True;True;True;True	312;556;579;1496;2182;3384;3496;3530	2045;2046;2047;2048;3649;3650;3651;3652;3653;3654;3655;3791;3792;3793;9958;9959;9960;9961;9962;14487;14488;14489;14490;14491;14492;14493;14494;14495;22582;22583;22584;22585;22586;22587;22588;22589;23330;23331;23332;23563;23564;23565;23566;23567;23568;23569;23570	763;764;765;1309;1310;1361;3571;5184;8013;8301;8394;8395	765;1309;1361;3571;5184;8013;8301;8394		
g5190.t1	g5190.t1	5	5	5		1	5	5	5	2	2	5	5	3	1	4	4	1	2	2	5	5	3	1	4	4	1	2	2	5	5	3	1	4	4	1	9.5	9.5	9.5	90.245	840	840	1	28	0	37.474	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	4.3	3.7	9.5	9.5	5.2	2.1	7.6	8.3	1.2	6350400	245730	61341	906480	2388200	733710	213240	588560	1182300	30797	456970	393490	2828700	2387000	741480	0	406350	325120	0	0	0	4	2	0	0	0	1	0	7				426	10;309;415;605;2249	True;True;True;True;True	10;322;437;640;2420	58;59;60;61;62;63;64;2109;2110;2111;2112;2113;2114;2857;2858;2859;2860;2861;2862;4167;4168;4169;4170;16139;16140;16141;16142;16143	25;26;781;782;1043;1492;5715	26;781;1043;1492;5715		
g5196.t1	g5196.t1	2	2	2		1	2	2	2	1	2	1	0	2	0	2	0	2	1	2	1	0	2	0	2	0	2	1	2	1	0	2	0	2	0	2	22.1	22.1	22.1	24.087	222	222	1	10	0	18.756	By MS/MS	By MS/MS	By MS/MS		By MS/MS		By matching		By matching	12.2	22.1	12.2	0	22.1	0	22.1	0	22.1	2319100	177500	138310	99931	0	891160	0	567370	0	444870	0	193400	0	0	768910	0	0	0	0	1	1	1	0	1	0	0	0	0	4				427	137;3195	True;True	139;3439	915;916;917;918;919;920;22951;22952;22953;22954	331;332;333;8152	331;8152		
g520.t1	g520.t1	6	6	6		1	6	6	6	5	1	4	4	6	6	4	3	4	5	1	4	4	6	6	4	3	4	5	1	4	4	6	6	4	3	4	31.5	31.5	31.5	31.116	295	295	1	37	0	38.461	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	23.4	3.4	21.7	26.1	31.5	31.5	23.4	16.3	23.7	29942000	2462200	771960	1907100	1470200	6339000	8307800	1334700	6038100	1310800	1830300	0	1535000	7051700	4645800	2836500	2000000	0	1883200	0	0	0	3	3	0	0	0	1	7				428	587;2507;2723;2724;3590;3702	True;True;True;True;True;True	620;2709;2937;2938;3861;3976	4045;4046;4047;4048;4049;4050;18085;18086;18087;18088;18089;18090;18091;18092;19575;19576;19577;19578;19579;19580;19581;19582;19583;19584;25813;25814;25815;25816;25817;26556;26557;26558;26559;26560;26561;26562;26563	1454;6391;6893;6894;9215;9216;9478	1454;6391;6893;6894;9215;9478	244	118
g5211.t1	g5211.t1	5	5	5		1	5	5	5	4	4	5	3	4	4	3	4	3	4	4	5	3	4	4	3	4	3	4	4	5	3	4	4	3	4	3	30	30	30	21.572	207	207	1	34	0	97.857	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	22.7	22.7	30	18.8	22.7	26.1	18.8	26.1	18.8	32316000	2729300	1933600	3293500	1923600	7697500	8380400	2029500	2900400	1428600	3245800	2062500	3395600	2780800	10264000	5224200	1929600	1686600	2639600	2	1	1	2	2	1	0	1	1	11				429	265;275;671;1246;3389	True;True;True;True;True	277;288;710;1322;3643	1789;1790;1791;1792;1793;1794;1795;1796;1797;1861;1862;1863;1864;1865;1866;1867;1868;1869;4661;4662;4663;8806;8807;8808;8809;8810;8811;8812;8813;8814;24330;24331;24332;24333	684;685;708;709;710;1663;3168;3169;3170;3171;3172;8669;8670	684;708;1663;3168;8669		
g5214.t1	g5214.t1	8	8	8		1	8	8	8	8	7	6	4	6	4	6	6	6	8	7	6	4	6	4	6	6	6	8	7	6	4	6	4	6	6	6	41	41	41	19.387	178	178	1	66	0	74.226	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41	38.8	38.8	29.2	37.1	34.8	37.1	37.1	38.8	74276000	21385000	10136000	5278900	7002700	8496500	1181300	10139000	6677700	3979800	18959000	17406000	11652000	7177800	6965400	2070300	14483000	4870400	3197200	7	2	2	1	1	1	3	1	2	20				430	39;697;877;2136;2137;2479;2647;3644	True;True;True;True;True;True;True;True	39;736;928;2280;2281;2681;2858;3917	224;225;226;227;4834;4835;4836;4837;4838;4839;4840;4841;4842;6144;6145;6146;6147;6148;6149;6150;15151;15152;15153;15154;15155;15156;15157;15158;15159;15160;15161;15162;15163;15164;15165;15166;15167;15168;15169;15170;15171;15172;15173;15174;15175;15176;15177;15178;17901;17902;17903;17904;17905;19086;19087;19088;19089;19090;26179;26180;26181;26182;26183;26184;26185;26186	74;1717;2183;2184;2185;5393;5394;5395;5396;5397;5398;5399;5400;5401;6336;6701;6702;6703;6704;9360;9361	74;1717;2183;5394;5397;6336;6701;9361		
g5224.t1	g5224.t1	4	4	4		1	4	4	4	3	2	2	3	4	4	4	4	3	3	2	2	3	4	4	4	4	3	3	2	2	3	4	4	4	4	3	17	17	17	38.343	352	352	1	29	0	33.562	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	16.8	11.4	11.4	16.8	17	17	17	17	17	20071000	2356200	324880	168980	611630	3301600	4573700	3786000	3858400	1090100	2418700	1887600	1300800	1965800	2197600	1740300	1898400	1465700	979700	3	1	1	0	1	1	1	1	0	9				431	998;1757;2220;3541	True;True;True;True	1055;1876;2381;3809	7008;7009;7010;7011;7012;7013;7014;7015;7016;12534;12535;12536;12537;12538;15869;15870;15871;15872;15873;15874;15875;25476;25477;25478;25479;25480;25481;25482;25483	2471;2472;2473;2474;2475;4451;5634;9090;9091	2471;4451;5634;9090		
g5230.t1	g5230.t1	2	2	2		1	2	2	2	2	0	2	2	0	0	2	2	2	2	0	2	2	0	0	2	2	2	2	0	2	2	0	0	2	2	2	16.3	16.3	16.3	20.742	184	184	1	12	0	18.673	By MS/MS		By MS/MS	By matching			By MS/MS	By matching	By matching	16.3	0	16.3	16.3	0	0	16.3	16.3	16.3	11620000	977080	0	842070	343250	0	0	3303300	5312400	841610	1104500	0	1040900	0	0	0	3170700	0	0	1	0	2	0	0	0	1	0	0	4				432	773;3000	True;True	816;3232	5387;5388;5389;5390;5391;5392;21557;21558;21559;21560;21561;21562	1917;7655;7656;7657	1917;7657		
g5239.t1	g5239.t1	3	3	3		1	3	3	3	3	2	2	3	1	2	3	2	2	3	2	2	3	1	2	3	2	2	3	2	2	3	1	2	3	2	2	9.6	9.6	9.6	53.216	490	490	1	20	0	17.882	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	9.6	5.3	5.3	9.6	3.1	5.3	9.6	5.3	5.3	6621500	928310	137990	174990	312230	442610	1553700	1998500	842410	230720	0	0	0	0	0	0	1368500	0	0	1	0	0	0	0	0	0	1	1	3				433	1594;1800;1805	True;True;True	1700;1921;1927	11281;11282;11283;12803;12804;12805;12806;12807;12808;12809;12810;12845;12846;12847;12848;12849;12850;12851;12852;12853	4003;4547;4560;4561	4003;4547;4560		
g5242.t1	g5242.t1	4	4	4		1	4	4	4	4	1	2	2	4	3	4	4	2	4	1	2	2	4	3	4	4	2	4	1	2	2	4	3	4	4	2	12.9	12.9	12.9	49.836	456	456	1	37	0	24.831	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	12.9	4.2	6.8	7	12.9	9.6	12.9	12.9	7	14947000	1781300	334210	1304500	1806300	2613400	3727200	911850	1942700	525110	1792200	1216000	2587300	2247500	1563600	1783200	1154600	1127500	1061800	3	0	1	0	0	1	1	0	0	6				434	482;2106;2744;3610	True;True;True;True	509;2246;2960;3881	3322;3323;3324;3325;14932;14933;14934;14935;14936;14937;14938;14939;14940;14941;19711;19712;19713;19714;19715;19716;19717;19718;19719;19720;19721;19722;19723;19724;19725;19726;19727;25939;25940;25941;25942;25943;25944	1193;5310;5311;6942;6943;6944;6945;9277	1193;5310;6943;9277		
g5243.t1	g5243.t1	2	2	2		1	2	2	2	0	0	0	2	0	1	1	1	2	0	0	0	2	0	1	1	1	2	0	0	0	2	0	1	1	1	2	5.8	5.8	5.8	58.475	539	539	1	7	0	11.387				By MS/MS		By matching	By matching	By matching	By matching	0	0	0	5.8	0	3.5	3.5	3.5	5.8	3609100	0	0	0	692900	0	1203100	525420	684790	502850	0	0	0	1060300	0	0	0	0	557270	0	0	0	2	0	0	0	0	0	2				435	1956;3609	True;True	2089;3880	13861;13862;13863;13864;13865;25937;25938	4947;9276	4947;9276		
g5261.t1	g5261.t1	16	16	16		1	16	16	16	13	12	9	9	11	14	13	11	13	13	12	9	9	11	14	13	11	13	13	12	9	9	11	14	13	11	13	42.9	42.9	42.9	61.885	588	588	1	118	0	150.33	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	37.9	33	22.3	21.3	31	41	40.1	32.7	41	158090000	23149000	14443000	3010100	9860300	10379000	28846000	27212000	22555000	18640000	28534000	22404000	8381100	10602000	7703400	16740000	18716000	18443000	20960000	6	8	3	4	0	5	6	3	3	38				436	301;302;1015;1153;1415;2104;2352;2483;2762;2771;2827;2828;3043;3189;3555;3691	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	314;315;1074;1220;1509;2244;2546;2685;2978;2987;3048;3049;3276;3433;3824;3965	2057;2058;2059;2060;2061;2062;2063;2064;7136;7137;7138;7139;7140;7141;7142;7143;7144;7145;7146;8101;8102;8103;8104;8105;8106;10030;10031;10032;10033;10034;10035;14918;14919;14920;14921;14922;16960;16961;16962;16963;16964;16965;16966;16967;16968;16969;17927;17928;17929;17930;17931;17932;17933;17934;17935;19884;19885;19886;19887;19888;19889;19941;19942;19943;19944;19945;19946;19947;19948;19949;20311;20312;20313;20314;20315;20316;20317;20318;20319;20320;20321;20322;20323;20324;20325;21842;21843;21844;21845;22907;22908;22909;22910;22911;22912;22913;22914;22915;22916;22917;22918;22919;22920;25573;25574;25575;25576;25577;25578;25579;26483;26484;26485;26486;26487;26488;26489;26490	767;768;2515;2516;2517;2518;2519;2887;3594;3595;5306;5307;5308;6003;6004;6005;6345;6346;6347;6348;6995;7016;7017;7180;7181;7182;7183;7184;7185;7753;8128;8129;8130;8131;8132;8133;8134;8135;9120;9121;9463;9464	767;768;2515;2887;3594;5308;6003;6347;6995;7016;7180;7185;7753;8131;9121;9463		
g5267.t1	g5267.t1	9	9	9		1	9	9	9	7	7	5	3	5	5	5	9	8	7	7	5	3	5	5	5	9	8	7	7	5	3	5	5	5	9	8	52.2	52.2	52.2	24.54	228	228	1	54	0	60.961	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	43.4	46.9	32	19.7	33.8	23.7	29.4	52.2	52.2	41872000	3385200	3403600	3838900	1836700	5935300	5652800	4866200	7894400	5058500	2145600	3905300	15340000	9599200	4158700	1396700	3022700	2012100	2676600	2	1	2	1	1	1	1	5	3	17				437	354;558;766;2402;3269;3270;3488;3654;3655	True;True;True;True;True;True;True;True;True	376;590;809;2599;3517;3518;3751;3928;3929	2433;2434;2435;2436;2437;2438;2439;2440;3840;3841;3842;5343;5344;5345;5346;5347;5348;17314;17315;17316;17317;17318;23474;23475;23476;23477;23478;23479;23480;23481;23482;23483;23484;25096;25097;25098;25099;26254;26255;26256;26257;26258;26259;26260;26261;26262;26263;26264;26265;26266;26267;26268;26269;26270	895;1381;1382;1383;1904;1905;1906;1907;1908;6111;8362;8363;8954;8955;9390;9391;9392;9393;9394	895;1381;1907;6111;8362;8363;8955;9390;9392		
g5275.t1	g5275.t1	2	2	2		1	2	2	2	1	2	2	2	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1	2	2	2	1	1	2	1	1	8.8	8.8	8.8	34.399	330	330	1	13	0	13.222	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	4.5	8.8	8.8	8.8	4.5	4.5	8.8	4.2	4.5	8034500	414700	1013400	1329200	1774300	494730	205220	2015600	352700	434630	0	1821300	3556300	2160300	0	0	1578500	0	0	0	1	2	1	0	0	0	0	0	4				438	1019;3092	True;True	1078;3331	7165;7166;7167;7168;7169;7170;7171;7172;22243;22244;22245;22246;22247	2523;2524;2525;7884;7885;7886	2525;7884		
g5276.t1	g5276.t1	10	10	10		1	10	10	10	10	8	5	5	4	6	9	9	9	10	8	5	5	4	6	9	9	9	10	8	5	5	4	6	9	9	9	26.7	26.7	26.7	52.362	475	475	1	71	0	316.05	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.7	22.1	15.6	14.7	11.8	19.4	25.1	24.8	25.1	57556000	9405800	8933300	1082700	2406200	2498500	7168800	10650000	8658900	6751600	6680900	18135000	2757900	3845600	3055200	3588400	6771500	5399900	9153400	7	3	1	4	1	2	7	2	4	31				439	222;1058;1482;2079;2295;2398;2520;2612;2897;3311	True;True;True;True;True;True;True;True;True;True	231;1122;1577;2219;2482;2595;2725;2823;3120;3559	1471;1472;1473;1474;1475;1476;1477;1478;1479;1480;1481;1482;1483;1484;7472;7473;7474;7475;7476;10469;10470;10471;10472;10473;10474;10475;10476;10477;14748;14749;14750;14751;14752;16512;16513;16514;16515;16516;17281;17282;17283;17284;17285;17286;17287;18215;18216;18217;18218;18219;18220;18863;18864;18865;18866;18867;18868;18869;18870;20802;20803;20804;23732;23733;23734;23735;23736;23737;23738;23739;23740	567;568;569;570;571;572;573;574;575;2656;3720;3721;3722;3723;3724;5251;5252;5253;5840;6102;6103;6104;6428;6628;6629;7381;8459;8460;8461;8462;8463;8464	570;2656;3723;5252;5840;6102;6428;6628;7381;8460		
g5301.t1	g5301.t1	10	10	10		1	10	10	10	6	2	5	7	4	6	7	6	6	6	2	5	7	4	6	7	6	6	6	2	5	7	4	6	7	6	6	21.1	21.1	21.1	83.79	768	768	1	54	0	67.561	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.7	4	7.8	11.8	9.1	12.6	15.8	12.6	13.9	16297000	797090	119430	645830	1421800	2112800	5527300	3175200	1704300	793720	963040	0	1618700	1036400	2308300	3042400	1508800	856840	898420	2	0	2	4	3	3	6	1	1	22				440	181;223;943;1239;1432;2074;2203;3356;3423;3586	True;True;True;True;True;True;True;True;True;True	187;232;998;1313;1314;1527;2214;2355;3609;3682;3683;3857	1209;1210;1211;1212;1213;1214;1485;1486;1487;1488;1489;1490;1491;1492;1493;6637;6638;6639;6640;6641;8746;8747;8748;8749;8750;8751;8752;8753;8754;8755;10157;14707;14708;14709;15668;15669;15670;15671;15672;15673;15674;15675;24078;24079;24080;24619;24620;24621;24622;24623;24624;24625;24626;25790	446;576;2360;2361;3138;3139;3140;3141;3142;3143;3144;3145;3629;5236;5558;5559;8589;8779;8780;8781;8782;9207	446;576;2360;3145;3629;5236;5558;8589;8782;9207	245;246;247	388;619;620
g5308.t1	g5308.t1	13	13	13		1	13	13	13	4	7	10	7	10	8	6	9	9	4	7	10	7	10	8	6	9	9	4	7	10	7	10	8	6	9	9	14.6	14.6	14.6	95.404	855	855	1	71	0	84.43	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.3	9	11.6	8.4	11.6	8.4	8.5	11.6	11.3	43480000	645450	1240400	3064900	3550100	11775000	9608900	2279900	8022200	3292800	0	1840100	6950900	6608900	7067900	6945400	1743500	5686100	3624300	0	1	2	2	7	2	1	3	2	20				441	41;130;488;693;792;1067;1449;1689;1745;2238;2399;2713;3038	True;True;True;True;True;True;True;True;True;True;True;True;True	41;132;515;732;838;1131;1544;1805;1863;2406;2596;2927;3270	242;243;244;245;246;247;248;875;876;877;878;879;880;881;882;883;3355;4813;5532;5533;5534;7520;7521;7522;7523;7524;7525;7526;7527;7528;10254;12074;12075;12076;12077;12078;12079;12449;12450;12451;12452;12453;12454;12455;12456;16067;16068;16069;16070;16071;16072;16073;17288;17289;17290;17291;17292;17293;17294;19501;19502;19503;19504;21796;21797;21798;21799;21800;21801;21802;21803	84;316;1207;1709;1982;2673;3665;4304;4428;4429;4430;5695;5696;6105;6863;7737;7738;7739;7740;7741	84;316;1207;1709;1982;2673;3665;4304;4429;5696;6105;6863;7737	248;249	665;824
g531.t1	g531.t1	2	1	1		1	2	1	1	2	1	2	2	1	2	2	0	2	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	8.8	5.9	5.9	57.227	594	594	1	7	0	5.521	By matching	By matching	By matching	By matching	By matching	By matching	By matching		By MS/MS	8.8	5.9	8.8	8.8	2.9	8.8	8.8	0	8.8	2414900	394160	321660	227750	417070	0	188130	593850	0	272300	0	0	0	0	0	0	0	0	335740	0	0	0	0	0	0	0	0	1	1				442	375;3701	False;True	397;3975	2591;2592;2593;2594;2595;2596;2597;26549;26550;26551;26552;26553;26554;26555	944;945;9477	944;9477		
g531.t2	g531.t2	2	2	1		1	2	2	1	2	1	2	2	1	1	1	0	2	2	1	2	2	1	1	1	0	2	1	1	1	1	0	0	0	0	1	8.9	8.9	6.1	57.298	595	595	1	12	0	14.687	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching		By matching	8.9	6.1	8.9	8.9	2.9	2.9	2.9	0	8.9	20021000	2648400	384400	3010200	4350800	2025000	1657400	3280300	0	2665000	3110900	0	5860200	5807900	0	0	0	0	4844000	2	1	0	1	0	0	0	0	0	4				443	375;3700	True;True	397;3974	2591;2592;2593;2594;2595;2596;2597;26544;26545;26546;26547;26548	944;945;9475;9476	944;9476		
